task,cohort,model,expected_sessions,recorded_oof_predictions,unique_sessions_predicted,duplicate_predictions_count,leakage_overlap_train_val,global_scaler_fitted,global_estimator_leakage,oof_integrity_status
TASK_2_BINARY_HARDWARE,TARGETED_41,Logistic_Regression,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_2_BINARY_HARDWARE,TARGETED_41,Linear_SVM,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_2_BINARY_HARDWARE,TARGETED_41,Decision_Tree,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_2_BINARY_HARDWARE,TARGETED_41,Random_Forest,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_3_THREE_TIER_POLICY,TARGETED_41,Logistic_Regression,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_3_THREE_TIER_POLICY,TARGETED_41,Linear_SVM,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_3_THREE_TIER_POLICY,TARGETED_41,Decision_Tree,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_3_THREE_TIER_POLICY,TARGETED_41,Random_Forest,41,41,41,0,0,False,False,VERIFIED_STRICT_OOF
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,Random_Forest,89,89,89,0,0,False,False,VERIFIED_STRICT_OOF
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,89,89,89,0,0,False,False,VERIFIED_STRICT_OOF
