task,cohort,feature_policy,model,labels,matrix_csv
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Logistic_Regression,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Linear_SVM,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Decision_Tree,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Random_Forest,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Logistic_Regression,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Linear_SVM,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Decision_Tree,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Random_Forest,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,13;0|0;28
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Logistic_Regression,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Linear_SVM,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Decision_Tree,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Random_Forest,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Logistic_Regression,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Linear_SVM,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Decision_Tree,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Random_Forest,AMBIGUOUS;CONTROLS;LEGITIMATE,13;3;0|0;10;0|1;0;14
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,NO_CAMERA_CONTROL;CAMERA_ACQUISITION,33;0|0;56
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,AMBIGUOUS;CONTROLS;LEGITIMATE,27;6;1|0;22;0|0;4;29
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,AMBIGUOUS;CONTROLS;LEGITIMATE,26;7;1|0;22;0|0;4;29
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,AMBIGUOUS;CONTROLS;LEGITIMATE,26;7;1|0;22;0|0;4;29
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,AMBIGUOUS;CONTROLS;LEGITIMATE,27;7;0|0;19;3|0;3;30
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,AMBIGUOUS;CONTROLS;LEGITIMATE,27;6;1|1;21;0|0;2;31
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,AMBIGUOUS;CONTROLS;LEGITIMATE,27;6;1|1;20;1|0;4;29
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,AMBIGUOUS;CONTROLS;LEGITIMATE,27;6;1|1;21;0|1;1;31
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,AMBIGUOUS;CONTROLS;LEGITIMATE,28;6;0|0;21;1|0;2;31
