session_id,cohort,scenario_id,ground_truth_context,repetition,inclusion_status,exclusion_reason,task2_target,task3_target,f01_screen_state,f02_is_interactive,f03_is_locked,f04_perm_clamped,f05_known_camera_app,f06_package_confidence,f07_inference_method,f08_delta_resumed_ms,f09_recent_activity_count,f10_camera_id,f11_is_back_camera,f04_perm_oracle
exp_20260925_205225_4c8447,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",NO_CAMERA_CONTROL,LEGITIMATE,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0
exp_20260925_205229_a23480,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,LEGITIMATE,-1.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,120.0,1.0,0.0,1.0,1.0
exp_20260925_205242_fa728c,BASELINE_16,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,1,INCLUDED,"",CAMERA_ACQUISITION,AMBIGUOUS,-1.0,-1.0,-1.0,-1.0,0.0,1.0,2.0,120.0,2.0,0.0,1.0,1.0
exp_20260925_205301_087164,BASELINE_16,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,LEGITIMATE,-1.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,120.0,1.0,0.0,1.0,1.0
exp_20260925_205359_3c25f9,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",NO_CAMERA_CONTROL,LEGITIMATE,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
exp_20260925_205411_132d32,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,INCLUDED,"",NO_CAMERA_CONTROL,CONTROLS,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
exp_20260925_205415_44d5a7,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,INCLUDED,"",NO_CAMERA_CONTROL,CONTROLS,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
exp_20260925_205422_4e75d0,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,EXCLUDED,"Violates scenario ground-truth invariants",NO_CAMERA_CONTROL,CONTROLS,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0
exp_20260925_205424_0f3f21,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,EXCLUDED,"Violates scenario ground-truth invariants",NO_CAMERA_CONTROL,CONTROLS,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0
exp_20260925_205459_c6df69,BASELINE_16,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,1,INCLUDED,"",NO_CAMERA_CONTROL,CONTROLS,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0
