task,cohort,model,session_id,scenario_id,ground_truth,predicted,error_category,security_privacy_impact
TASK_3_THREE_TIER_POLICY,TARGETED_41,Logistic_Regression,exp_20260925_231325_rep5_b01a86,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,AMBIGUOUS,CONSERVATIVE_FALSE_AMBIGUOUS,Legitimate user action conservatively flagged as ambiguous; creates nuisance alert
TASK_3_THREE_TIER_POLICY,TARGETED_41,Logistic_Regression,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Logistic_Regression,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Logistic_Regression,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Linear_SVM,exp_20260925_231325_rep5_b01a86,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,AMBIGUOUS,CONSERVATIVE_FALSE_AMBIGUOUS,Legitimate user action conservatively flagged as ambiguous; creates nuisance alert
TASK_3_THREE_TIER_POLICY,TARGETED_41,Linear_SVM,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Linear_SVM,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Linear_SVM,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Decision_Tree,exp_20260925_231325_rep5_b01a86,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,AMBIGUOUS,CONSERVATIVE_FALSE_AMBIGUOUS,Legitimate user action conservatively flagged as ambiguous; creates nuisance alert
TASK_3_THREE_TIER_POLICY,TARGETED_41,Decision_Tree,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Decision_Tree,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Decision_Tree,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Random_Forest,exp_20260925_231325_rep5_b01a86,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,AMBIGUOUS,CONSERVATIVE_FALSE_AMBIGUOUS,Legitimate user action conservatively flagged as ambiguous; creates nuisance alert
TASK_3_THREE_TIER_POLICY,TARGETED_41,Random_Forest,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
