session_id,cohort,scenario_id,ground_truth_context,repetition,inclusion_status,exclusion_reason,camera_hardware_acquisition,camera_hardware_id,is_back_camera,screen_state_t0,screen_state_transitions,trigger_mechanism,recent_user_interaction_at_trigger,f06_package_confidence,f07_inference_method,f12_duration_ms
exp_20260925_205225_4c8447,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",PASSIVE_OR_STARTUP,true,0,NONE,0
exp_20260925_205229_a23480,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,12129
exp_20260925_205242_fa728c,BASELINE_16,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,15282
exp_20260925_205301_087164,BASELINE_16,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,16490
exp_20260925_205359_3c25f9,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",PASSIVE_OR_STARTUP,true,0,NONE,7545
exp_20260925_205411_132d32,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,0,NONE,0
exp_20260925_205415_44d5a7,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,0,NONE,6339
exp_20260925_205422_4e75d0,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,EXCLUDED,"Violates scenario ground-truth invariants",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,0,NONE,0
exp_20260925_205424_0f3f21,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,EXCLUDED,"Violates scenario ground-truth invariants",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,0,NONE,18705
exp_20260925_205459_c6df69,BASELINE_16,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,0,NONE,23022
exp_20260925_205531_a6d2f8,BASELINE_16,CAMERA_SESSION_CLOSED,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,25011
exp_20260925_205605_1b68ae,BASELINE_16,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,1,EXCLUDED,"Pre-Phase-3.5.1 AMBIGUOUS_CONTEXT invalidly opened camera",CAMERA_ACQUISITION,0,TRUE,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,44921
