feature_id,feature_name,data_type,encoding,source_field,source_layer,temporal_window,observability,is_research_only,missing_value_representation,leakage_risk,extraction_rule,allowed_values_or_range
F01,screen_state_code,CATEGORICAL,"String code: ON_UNLOCKED, ON_LOCKED, OFF, UNKNOWN. Numerical mapping: OFF=0.0, ON_UNLOCKED=1.0, ON_LOCKED=2.0, UNKNOWN=-1.0",screen_state,"CameraGuard ScreenReceiver / BroadcastReceiver (ACTION_SCREEN_ON, ACTION_SCREEN_OFF, ACTION_USER_PRESENT)",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,UNKNOWN,NONE,"Extracted from system screen state broadcast received before or at camera activation","ON_UNLOCKED, ON_LOCKED, OFF, UNKNOWN"
F02,is_screen_interactive,BOOLEAN_3STATE,"3-State String: TRUE, FALSE, UNKNOWN. Numerical: TRUE=1.0, FALSE=0.0, UNKNOWN=-1.0",screen_state,"PowerManager.isInteractive() / ScreenReceiver",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,UNKNOWN,NONE,"TRUE if screen_state in [ON_UNLOCKED, ON_LOCKED, ON]; FALSE if OFF; UNKNOWN if missing","TRUE, FALSE, UNKNOWN"
F03,is_device_locked,BOOLEAN_3STATE,"3-State String: TRUE, FALSE, UNKNOWN. Numerical: TRUE=1.0, FALSE=0.0, UNKNOWN=-1.0",screen_state,"KeyguardManager.isKeyguardLocked() / ScreenReceiver",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,UNKNOWN,NONE,"TRUE if screen_state is ON_LOCKED; FALSE if ON_UNLOCKED; UNKNOWN if OFF or unverified","TRUE, FALSE, UNKNOWN"
F04,has_camera_permission,BOOLEAN_3STATE,"3-State String: GRANTED, DENIED, UNVERIFIED. Numerical: GRANTED=1.0, DENIED=0.0, UNVERIFIED=-1.0",candidate_has_camera_permission,"Production CameraGuard (unprivileged sandbox cannot verify third-party runtime permissions)",T0_ACTIVATION,PARTIAL,false,UNVERIFIED,OBSERVABILITY_LEAKAGE,"In production CameraGuard, strictly UNVERIFIED due to Android sandbox boundaries. In research harness, reflects internal target state","GRANTED, DENIED, UNVERIFIED, UNKNOWN"
F05,is_known_camera_app,BOOLEAN,"Boolean: true, false. Numerical: true=1.0, false=0.0",inferred_package_name,"CameraGuard KnownCameraApps / PackageName list lookup",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,false,NONE,"Matches inferredPackageName against known camera/video communication packages or system camera intent","true, false"
F06,package_inference_confidence,ORDINAL,"Integer ordinal: 0=NONE, 1=LOW, 2=MEDIUM, 3=HIGH. Numerical: 0.0..3.0",package_inference_confidence,"CameraGuard UsageStats / ContextualInferenceEngine",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,0,NONE,"Confidence rating assigned by UsageStats attribution heuristic based on event recency and window visibility","0, 1, 2, 3"
F07,inference_method_code,CATEGORICAL,"String code: USAGE_STATS_ACTIVITY_RESUMED, USAGE_STATS_ACTIVITY_PAUSED, CAMERA_APP_HEURISTIC, NONE, UNKNOWN. Numerical mapping: NONE=0.0, USAGE_STATS_ACTIVITY_RESUMED=1.0, USAGE_STATS_ACTIVITY_PAUSED=2.0, CAMERA_APP_HEURISTIC=3.0, UNKNOWN=-1.0",inference_method,"CameraGuard UsageStats / ContextualInferenceEngine",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,UNKNOWN,NONE,"Identification of heuristic method that attributed the camera acquisition event to a candidate package","USAGE_STATS_ACTIVITY_RESUMED, USAGE_STATS_ACTIVITY_PAUSED, CAMERA_APP_HEURISTIC, NONE, UNKNOWN"
F08,delta_resumed_to_trigger_ms,NUMERICAL,"Continuous Double: time delta in milliseconds. Missing/Unavailable sentinel: -1.0",detection_latency_ms / UsageStats timestamp delta,"CameraGuard UsageStatsManager queryEvents lookback",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,-1.0,NONE,"Time difference in milliseconds between the candidate app's last ACTIVITY_RESUMED event and the camera availability trigger. Clamped to >= 0.0 or -1.0 if no resume event","[-1.0, 30000.0] ms"
F09,recent_activity_count_30s,NUMERICAL,"Integer: count of foreground transition events in 30s lookback window. Missing: 0",UsageStats queryEvents count,"CameraGuard UsageStatsManager lookback window (30s)",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,0,NONE,"Number of ACTIVITY_RESUMED / ACTIVITY_PAUSED transitions across all apps in preceding 30s. Indicates system activity/multitasking intensity","[0, 100]"
F10,camera_hardware_id,CATEGORICAL,"String: 0 (rear), 1 (front), UNKNOWN. Numerical mapping: 0=0.0, 1=1.0, UNKNOWN=-1.0",camera_id,"CameraManager.AvailabilityCallback(cameraId)",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,UNKNOWN,NONE,"Camera hardware identifier passed directly by Android CameraManager availability callback","0, 1, UNKNOWN"
F11,is_back_camera,BOOLEAN_3STATE,"3-State String: TRUE, FALSE, UNKNOWN. Numerical: TRUE=1.0, FALSE=0.0, UNKNOWN=-1.0",camera_id / CameraCharacteristics.LENS_FACING,"CameraManager.getCameraCharacteristics(cameraId)",T0_ACTIVATION,PRODUCTION_OBSERVABLE,false,UNKNOWN,NONE,"TRUE if LENS_FACING_BACK (id 0); FALSE if LENS_FACING_FRONT (id 1); UNKNOWN if unresolvable","TRUE, FALSE, UNKNOWN"
F12,session_duration_ms,NUMERICAL,"Long integer: milliseconds. Missing: 0",session_duration_ms,"Test Harness / Room Event closure lifecycle",T2_RETROSPECTIVE,RESEARCH_ONLY,true,0,TEMPORAL_LEAKAGE,"Total elapsed time from camera acquisition until physical release. STRICT TEMPORAL LEAKAGE at T0","[0, 3600000] ms"
F13,explicit_user_start_action,BOOLEAN_3STATE,"3-State String: TRUE, FALSE, UNKNOWN. Numerical: TRUE=1.0, FALSE=0.0, UNKNOWN=-1.0",user_action == USER_PRESSED_START,"Test Harness UI click listener",T2_RETROSPECTIVE,RESEARCH_ONLY,true,UNKNOWN,OBSERVABILITY_LEAKAGE,"TRUE if user clicked Start button in harness UI. Invisible to production CameraGuard across sandbox boundary","TRUE, FALSE, UNKNOWN"
F14,explicit_user_stop_action,BOOLEAN_3STATE,"3-State String: TRUE, FALSE, UNKNOWN. Numerical: TRUE=1.0, FALSE=0.0, UNKNOWN=-1.0",user_action == USER_PRESSED_STOP,"Test Harness UI click listener",T2_RETROSPECTIVE,RESEARCH_ONLY,true,UNKNOWN,TEMPORAL_LEAKAGE,"TRUE if user clicked Stop button in harness UI. STRICT TEMPORAL & OBSERVABILITY LEAKAGE","TRUE, FALSE, UNKNOWN"
F15,internal_harness_state,CATEGORICAL,"String code: IDLE, RUNNING, STOPPING, ERROR, UNKNOWN",session_state,"Test Harness internal state machine",T2_RETROSPECTIVE,RESEARCH_ONLY,true,UNKNOWN,OBSERVABILITY_LEAKAGE,"Internal target app execution state. Invisible to production CameraGuard","IDLE, RUNNING, STOPPING, ERROR, UNKNOWN"
F16,harness_fg_service_active,BOOLEAN,"Boolean: true, false",foreground_service_active,"Test Harness CameraTestService lifecycle",T2_RETROSPECTIVE,RESEARCH_ONLY,true,false,OBSERVABILITY_LEAKAGE,"TRUE if target app Camera Foreground Service was running. Invisible without privileged system inspection","true, false"
F17,time_to_session_close_ms,NUMERICAL,"Long integer: milliseconds. Missing/Unclosed: -1",time_to_session_close_ms,"Camera Availability lifecycle tracking",T2_RETROSPECTIVE,RESEARCH_ONLY,true,-1,TEMPORAL_LEAKAGE,"Time elapsed from trigger event until CAMERA_BECAME_AVAILABLE callback. STRICT TEMPORAL LEAKAGE","[-1, 3600000] ms"
F18,app_visibility_at_trigger,CATEGORICAL,"String code: FOREGROUND, BACKGROUND, UNKNOWN",app_visibility,"Test Harness Activity onResume/onStop state",T2_RETROSPECTIVE,RESEARCH_ONLY,true,UNKNOWN,OBSERVABILITY_LEAKAGE,"Target app window visibility at exact moment of trigger. Production has only UsageStats heuristic","FOREGROUND, BACKGROUND, UNKNOWN"
F19,backgrounded_during_session,BOOLEAN,"Boolean: true, false",app_visibility transitioned to BACKGROUND while camera open,"Test Harness / CameraGuard Event log sequence",T2_RETROSPECTIVE,RESEARCH_ONLY,true,false,TEMPORAL_LEAKAGE,"TRUE if app moved to background after camera was acquired. Available only during session progression","true, false"
F20,returned_to_foreground,BOOLEAN,"Boolean: true, false",app_visibility transitioned back to FOREGROUND before close,"Test Harness / CameraGuard Event log sequence",T2_RETROSPECTIVE,RESEARCH_ONLY,true,false,TEMPORAL_LEAKAGE,"TRUE if backgrounded app returned to foreground before closing camera. STRICT TEMPORAL LEAKAGE","true, false"
