sample_id,timestamp,scenario_id,ground_truth_context,user_action,camera_event,camera_id,package_name,camera_permission,activity_state,app_visibility,foreground_service_active,foreground_service_type,screen_state,session_state,session_duration_ms,recent_user_interaction,lifecycle_event,camera_availability,notes
exp_20260925_233546_rep1_781d02,2026-09-25T23:35:46.495Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,USER_PRESSED_START,NONE,NONE,org.cameratestharness,UNKNOWN,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,UNKNOWN,0,true,NONE,UNKNOWN,rep=1;trigger=user_start
exp_20260925_233546_rep1_781d02,2026-09-25T23:35:46.520Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,CAMERA_OPEN_REQUESTED,CAMERA_OPEN_REQUESTED,NONE,org.cameratestharness,UNKNOWN,UNKNOWN,UNKNOWN,true,camera,ON_UNLOCKED,STARTING,25,true,NONE,UNKNOWN,rep=1;trigger=user_start
exp_20260925_233546_rep1_781d02,2026-09-25T23:35:46.580Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,NONE,CAMERA_OPENED,1,org.cameratestharness,GRANTED,UNKNOWN,UNKNOWN,true,camera,ON_UNLOCKED,CAMERA_OPEN,85,true,NONE,UNAVAILABLE,rep=1;trigger=user_start;lens_facing=FRONT
exp_20260925_233546_rep1_781d02,2026-09-25T23:35:46.674Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,NONE,CAPTURE_SESSION_STARTED,1,org.cameratestharness,GRANTED,UNKNOWN,UNKNOWN,true,camera,ON_UNLOCKED,RUNNING,179,true,NONE,UNAVAILABLE,rep=1;trigger=user_start
exp_20260925_233546_rep1_781d02,2026-09-25T23:35:53.572Z,NORMAL_FOREGROUND_CAMERA,CAMERA_SESSION_CLOSED,USER_PRESSED_STOP,NONE,NONE,org.cameratestharness,UNKNOWN,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,UNKNOWN,7077,true,NONE,UNKNOWN,rep=1
exp_20260925_233546_rep1_781d02,2026-09-25T23:35:53.593Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,CAMERA_STOP_REQUESTED,CAMERA_STOP_REQUESTED,1,org.cameratestharness,UNKNOWN,UNKNOWN,UNKNOWN,false,none,ON_UNLOCKED,STOPPING,7098,true,NONE,UNKNOWN,rep=1
exp_20260925_233546_rep1_781d02,2026-09-25T23:35:53.849Z,NORMAL_FOREGROUND_CAMERA,CAMERA_SESSION_CLOSED,NONE,CAMERA_CLOSED,1,org.cameratestharness,UNKNOWN,UNKNOWN,UNKNOWN,false,none,ON_UNLOCKED,IDLE,7354,true,NONE,AVAILABLE,rep=1
exp_20260925_233559_rep2_f155ab,2026-09-25T23:35:59.670Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,USER_PRESSED_START,NONE,NONE,org.cameratestharness,UNKNOWN,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,UNKNOWN,0,true,NONE,UNKNOWN,rep=2;trigger=user_start
exp_20260925_233559_rep2_f155ab,2026-09-25T23:35:59.681Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,CAMERA_OPEN_REQUESTED,CAMERA_OPEN_REQUESTED,NONE,org.cameratestharness,UNKNOWN,UNKNOWN,UNKNOWN,true,camera,ON_UNLOCKED,STARTING,11,true,NONE,UNKNOWN,rep=2;trigger=user_start
exp_20260925_233559_rep2_f155ab,2026-09-25T23:35:59.748Z,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,NONE,CAMERA_OPENED,1,org.cameratestharness,GRANTED,UNKNOWN,UNKNOWN,true,camera,ON_UNLOCKED,CAMERA_OPEN,78,true,NONE,UNAVAILABLE,rep=2;trigger=user_start;lens_facing=FRONT
