cohort,target_formulation,class_name,total_count,included_count,excluded_count,included_pct,support_status,recommendation
TARGETED_41,MULTICLASS_SCENARIO,AMBIGUOUS_CONTEXT,3,3,0,7.32,MARGINAL,"MARGINAL (N=3): Usable for stratified 2-fold or LOGO validation; high variance expected."
TARGETED_41,MULTICLASS_SCENARIO,AUTOMATED_BACKGROUND_TRIGGER,5,5,0,12.20,MARGINAL,"ADEQUATE_FOR_5FOLD (N=5): Exactly 1 sample per fold in 5-fold CV; fragile to stratified splits."
TARGETED_41,MULTICLASS_SCENARIO,BACKGROUND_CAMERA_CONTINUATION,8,8,0,19.51,ADEQUATE,"ADEQUATE (N=8): Sufficient statistical representation for primary multiclass evaluation."
TARGETED_41,MULTICLASS_SCENARIO,CAMERA_START_STOP,5,5,0,12.20,MARGINAL,"ADEQUATE_FOR_5FOLD (N=5): Exactly 1 sample per fold in 5-fold CV; fragile to stratified splits."
TARGETED_41,MULTICLASS_SCENARIO,NORMAL_FOREGROUND_CAMERA,10,10,0,24.39,ADEQUATE,"ADEQUATE (N=10): Sufficient statistical representation for primary multiclass evaluation."
TARGETED_41,MULTICLASS_SCENARIO,PERMISSION_DENIED,5,5,0,12.20,MARGINAL,"ADEQUATE_FOR_5FOLD (N=5): Exactly 1 sample per fold in 5-fold CV; fragile to stratified splits."
TARGETED_41,MULTICLASS_SCENARIO,PERMISSION_GRANTED_NO_CAMERA,5,5,0,12.20,MARGINAL,"ADEQUATE_FOR_5FOLD (N=5): Exactly 1 sample per fold in 5-fold CV; fragile to stratified splits."
TARGETED_41,BINARY_HARDWARE_ACQUISITION,CAMERA_ACQUISITION,28,28,0,68.29,ADEQUATE,"ADEQUATE (N=28): Hardware camera acquisition verified by CameraManager/Service callbacks."
TARGETED_41,BINARY_HARDWARE_ACQUISITION,NO_CAMERA_CONTROL,13,13,0,31.71,ADEQUATE,"ADEQUATE (N=13): Negative control / observation baseline; zero camera hardware control."
TARGETED_41,THREE_TIER_CONTEXT,LEGITIMATE_FOREGROUND,15,15,0,36.59,ADEQUATE,"Represents direct user-initiated camera operations in foreground activity."
TARGETED_41,THREE_TIER_CONTEXT,AMBIGUOUS_OR_BACKGROUND,16,16,0,39.02,ADEQUATE,"Represents background continuation, timer trigger, or unverified context requiring heightened monitoring."
TARGETED_41,THREE_TIER_CONTEXT,NEGATIVE_CONTROLS,10,10,0,24.39,ADEQUATE,"Negative controls verifying zero hardware activation."
TARGETED_41,BINARY_OPERATIONAL_ALERT,UNEXPECTED_COVERT_ACCESS,0,0,0,0.00,INSUFFICIENT,"INSUFFICIENT (N=0): Dataset contains ZERO covert/malicious samples. Supervised training of alert classifiers impossible without synthetic data."
TARGETED_41,BINARY_OPERATIONAL_ALERT,AUTHORIZED_OR_CONTROL_ACCESS,41,41,0,100.00,ADEQUATE,"ADEQUATE (N=41): All physical sessions represent authorized, controlled experimental scenarios."
ACCUMULATED_92,MULTICLASS_SCENARIO,AMBIGUOUS_CONTEXT,6,5,1,5.62,MARGINAL,"ADEQUATE_FOR_5FOLD (N=5): Exactly 1 sample per fold in 5-fold CV; fragile to stratified splits."
ACCUMULATED_92,MULTICLASS_SCENARIO,AUTOMATED_BACKGROUND_TRIGGER,11,11,0,12.36,ADEQUATE,"ADEQUATE (N=11): Sufficient statistical representation for primary multiclass evaluation."
ACCUMULATED_92,MULTICLASS_SCENARIO,BACKGROUND_CAMERA_CONTINUATION,18,18,0,20.22,ADEQUATE,"ADEQUATE (N=18): Sufficient statistical representation for primary multiclass evaluation."
ACCUMULATED_92,MULTICLASS_SCENARIO,CAMERA_SESSION_CLOSED,1,1,0,1.12,INSUFFICIENT,"INSUFFICIENT (N=1): Cannot be partitioned across CV folds without fold emptiness."
ACCUMULATED_92,MULTICLASS_SCENARIO,CAMERA_START_STOP,11,11,0,12.36,ADEQUATE,"ADEQUATE (N=11): Sufficient statistical representation for primary multiclass evaluation."
ACCUMULATED_92,MULTICLASS_SCENARIO,NORMAL_FOREGROUND_CAMERA,21,21,0,23.60,ADEQUATE,"ADEQUATE (N=21): Sufficient statistical representation for primary multiclass evaluation."
ACCUMULATED_92,MULTICLASS_SCENARIO,PERMISSION_DENIED,11,9,2,10.11,ADEQUATE,"ADEQUATE (N=9): Sufficient statistical representation for primary multiclass evaluation."
ACCUMULATED_92,MULTICLASS_SCENARIO,PERMISSION_GRANTED_NO_CAMERA,13,13,0,14.61,ADEQUATE,"ADEQUATE (N=13): Sufficient statistical representation for primary multiclass evaluation."
