cohort,session_id,scenario_id,ground_truth,deterministic_result,ml_invoked,ml_result,final_result,tier_used,is_correct
TARGETED_41,exp_20260925_231012_rep1_825301,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231144_rep2_24d54b,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231222_rep3_04ff2f,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231248_rep4_fbbc6d,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231325_rep5_b01a86,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231536_rep1_845cf4,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231602_rep2_cd4e25,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231629_rep3_9201a9,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231652_rep4_26b219,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_231714_rep5_9293ed,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_233810_rep1_4548ee,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260925_233828_rep2_670f75,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260925_233846_rep3_5234b0,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260925_233903_rep4_9c5492,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260925_233922_rep5_81205c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260925_234031_rep1_6c15cf,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_234046_rep2_556297,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_234056_rep3_503771,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
