feature_id,feature_name,temporal_window,observability,total_samples_targeted,non_missing_count_targeted,missing_rate_targeted,is_constant_targeted,dominant_value_targeted,dominant_value_pct_targeted,distinct_values_targeted,phase461_status,phase463_status,variability_change,production_t0_eligible,audit_notes
F01,screen_state_code,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,41,0.0000,true,"ON_UNLOCKED",100.00,"ON_UNLOCKED",UNPOLLED_CONSTANT_UNKNOWN,VARIED_IN_RETROSPECTIVE_CONSTANT_T0,VARIED_POST_T0 (Screen OFF and ON_LOCKED transitions captured in session),true,"Screen state code. At T0 trigger, 100% ON_UNLOCKED across all 41 controlled runs. Screen OFF and ON_LOCKED captured post-trigger during screen-off continuation."
F02,is_screen_interactive,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,41,0.0000,true,"TRUE",100.00,"TRUE",UNPOLLED_CONSTANT_UNKNOWN,VARIED_IN_RETROSPECTIVE_CONSTANT_T0,VARIED_POST_T0 (Screen OFF and ON_LOCKED transitions captured in session),true,"Is screen interactive tri-state. Constant TRUE at T0 trigger. Varies to FALSE during mid-session screen OFF."
F03,is_device_locked,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,41,0.0000,true,"FALSE",100.00,"FALSE",UNPOLLED_CONSTANT_UNKNOWN,VARIED_IN_RETROSPECTIVE_CONSTANT_T0,VARIED_POST_T0 (Screen OFF and ON_LOCKED transitions captured in session),true,"Is device locked tri-state. Constant FALSE at T0 trigger. Varies to TRUE during mid-session lockscreen."
F04,has_camera_permission,T0_ACTIVATION,PARTIAL,41,41,0.0000,true,"GRANTED",100.00,"GRANTED",ORACLE_ONLY_RESTRICTED,ORACLE_RESTRICTED_UNVERIFIED_IN_PROD,UNCHANGED (Requires unprivileged sandbox clamping to UNVERIFIED),false,"Target camera permission. GRANTED in harness telemetry (68.3%), UNVERIFIED in negative controls (31.7%). Must remain UNVERIFIED in production models."
F05,is_known_camera_app,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,41,0.0000,true,"false",100.00,"false",ZERO_VARIANCE_CONSTANT,ZERO_VARIANCE_CONSTANT,UNCHANGED (Requires real 3rd-party camera apps to vary),true,"Known camera app heuristic. Constant false (100.0%) as test harness is not a registered system camera app."
F06,package_inference_confidence,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,41,0.0000,false,"2",34.15,"0;1;2",READY_FOR_EVALUATION,UNFROZEN_HIGH_VARIANCE,UNFROZEN (LOW confidence from automated timer triggers now present),true,"Package inference confidence (0..2). Unfrozen: 0 (No Camera, 31.7%), 1 (Low confidence / Background trigger, 31.7%), 2 (Medium / Foreground, 36.6%)."
F07,inference_method_code,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,28,0.3171,false,"USAGE_STATS_ACTIVITY_RESUMED",34.15,"NONE;USAGE_STATS_ACTIVITY_PAUSED;USAGE_STATS_ACTIVITY_RESUMED",READY_FOR_EVALUATION,READY_HIGH_DISCRIMINATION,VARIED,true,"Inference method code. High discrimination: NONE (31.7%), USAGE_STATS_ACTIVITY_RESUMED (36.6%), USAGE_STATS_ACTIVITY_PAUSED (31.7%)."
F08,delta_resumed_to_trigger_ms,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,23,0.4390,false,"120.0",56.10,"-1.0;120.0",READY_FOR_EVALUATION,READY_HIGH_DISCRIMINATION,VARIED,true,"Delta resumed to trigger ms. High discrimination: -1.0 for controls and timer triggers (43.9%), 120.0ms for user-initiated resumes (56.1%)."
F09,recent_activity_count_30s,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,41,0.0000,false,"0",43.90,"0;1;2",READY_FOR_EVALUATION,READY_HIGH_DISCRIMINATION,VARIED,true,"Recent activity transitions in 30s lookback. High discrimination: 0 (43.9%), 1 (36.6%), 2 (19.5%). Differentiates background continuation."
F10,camera_hardware_id,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,28,0.3171,false,"0",56.10,"0;1;UNKNOWN",NEAR_CONSTANT_REAR_ONLY,UNFROZEN_FRONT_AND_REAR,UNFROZEN (Front camera sensor '1' and lens_facing=FALSE now present),true,"Camera hardware ID. Unfrozen: UNKNOWN (31.7%), 0 (Rear, 56.1%), 1 (Front, 12.2%). Validated across physical sensors."
F11,is_back_camera,T0_ACTIVATION,PRODUCTION_OBSERVABLE,41,28,0.3171,false,"TRUE",56.10,"FALSE;TRUE;UNKNOWN",NEAR_CONSTANT_REAR_ONLY,UNFROZEN_FRONT_AND_REAR,UNFROZEN (Front camera sensor '1' and lens_facing=FALSE now present),true,"Lens facing back camera. Unfrozen: UNKNOWN (31.7%), TRUE (Rear, 56.1%), FALSE (Front, 12.2%)."
F12,session_duration_ms,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,false,"0",31.71,"0;102873;10438;11149;11301;11478;12388;12943;13009;13103;13128;13151;13685;13696;14793;15718;15818;15877;16329;16487;17500;18791;20249;4549;4840;5089;5110;58012;6252",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"Session duration ms. Retrospective: ranges from 0ms (controls) to 25000ms. Prohibited from T0 inference."
F13,explicit_user_start_action,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,false,"TRUE",56.10,"FALSE;TRUE",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"Explicit user start action. Retrospective harness signal. Prohibited from T0 inference."
F14,explicit_user_stop_action,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,false,"TRUE",68.29,"FALSE;TRUE",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"Explicit user stop action. Retrospective harness signal. Prohibited from T0 inference."
F15,internal_harness_state,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,true,"IDLE",100.00,"IDLE",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,CONSTANT,false,"Internal harness state. Retrospective state machine. Prohibited from T0 inference."
F16,harness_fg_service_active,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,false,"true",68.29,"false;true",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"Foreground service active. Retrospective target app state. Prohibited from T0 inference."
F17,time_to_session_close_ms,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,false,"0",31.71,"0;102873;10438;11149;11301;11478;12388;12943;13009;13103;13128;13151;13685;13696;14793;15718;15818;15877;16329;16487;17500;18791;20249;4549;4840;5089;5110;58012;6252",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"Time to session close ms. Retrospective duration. Prohibited from T0 inference."
F18,app_visibility_at_trigger,T2_RETROSPECTIVE,RESEARCH_ONLY,41,13,0.6829,false,"UNKNOWN",68.29,"FOREGROUND;UNKNOWN",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"App visibility at trigger. Ground-truth research signal (FOREGROUND vs BACKGROUND vs UNKNOWN). Prohibited from T0 inference."
F19,backgrounded_during_session,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,false,"false",68.29,"false;true",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"Backgrounded during session. Retrospective: TRUE for background continuation and screen-off sessions (31.7%). Prohibited from T0 inference."
F20,returned_to_foreground,T2_RETROSPECTIVE,RESEARCH_ONLY,41,41,0.0000,false,"false",65.85,"false;true",RETROSPECTIVE_RESEARCH_ONLY,RETROSPECTIVE_RESEARCH_VALIDATED,VARIED,false,"Returned to foreground. Retrospective: TRUE for sessions brought back to foreground (31.7%). Prohibited from T0 inference."
