cohort,session_id,scenario_id,ground_truth,system,predicted,error_category,tier_used
TARGETED_41,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
TARGETED_41,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
TARGETED_41,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
ACCUMULATED_89,exp_20260925_205242_fa728c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,Hybrid_Rule_DT,LEGITIMATE,CRITICAL_FALSE_LEGITIMATE,ML
ACCUMULATED_89,exp_20260925_213559_3a8b54,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
ACCUMULATED_89,exp_20260925_232728_rep1_95371d,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
ACCUMULATED_89,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
ACCUMULATED_89,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
ACCUMULATED_89,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
ACCUMULATED_89,exp_20260926_000517_rep1_b4db6b,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
ACCUMULATED_89,exp_20260926_000754_rep1_d81a2a,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,Hybrid_Rule_DT,CONTROLS,AMBIGUOUS_TO_CONTROLS_NON_ACQ,ML
