feature_id,feature_name,temporal_window,observability,total_samples,non_missing_count,missing_or_unknown_count,missingness_rate,is_constant,is_near_constant,dominant_value,dominant_value_pct,production_t0_eligible,readiness_status,audit_notes
F01,screen_state_code,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,0,16,1.0000,true,false,"UNKNOWN",100.00,true,UNPOLLED_IN_HARNESS,"Unpolled in harness CSV (100% UNKNOWN). Tracked in CameraGuard :app as SCREEN_ON_UNLOCKED. Requires sensor polling."
F02,is_screen_interactive,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,0,16,1.0000,true,false,"UNKNOWN",100.00,true,UNPOLLED_IN_HARNESS,"Derived directly from F01. Tri-state boolean. Constant UNKNOWN in current harness dataset."
F03,is_device_locked,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,0,16,1.0000,true,false,"UNKNOWN",100.00,true,UNPOLLED_IN_HARNESS,"Derived directly from F01. Tri-state boolean. Constant UNKNOWN in current harness dataset."
F04,has_camera_permission,T0_ACTIVATION,PARTIAL,16,14,2,0.1250,false,false,"GRANTED",62.50,false,ORACLE_ONLY_RESTRICTED,"CRITICAL SANDBOX BOUNDARY: Unprivileged sandbox cannot query 3rd-party runtime permissions. Must be UNVERIFIED in production models."
F05,is_known_camera_app,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,16,0,0.0000,true,false,"false",100.00,true,ZERO_VARIANCE_CONSTANT,"Constant false (100.0%). Test harness is not registered as system camera app. Requires third-party camera app sessions."
F06,package_inference_confidence,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,16,0,0.0000,false,false,"0",62.50,true,READY_FOR_EVALUATION,"Ordinal confidence (0..2 in data). Distinguishes foreground (2), background (1), and negative controls (0)."
F07,inference_method_code,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,16,0,0.0000,false,false,"NONE",62.50,true,READY_FOR_EVALUATION,"Inference method code. Distinguishes background continuation (PAUSED) from foreground (RESUMED) and controls (NONE)."
F08,delta_resumed_to_trigger_ms,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,6,10,0.6250,false,false,"-1.0",62.50,true,READY_FOR_EVALUATION,"Time delta in ms. Empirical 120ms latency when resumed. Sentinel -1.0 denotes no recent resume transition."
F09,recent_activity_count_30s,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,16,0,0.0000,false,false,"0",62.50,true,READY_FOR_EVALUATION,"Recent activity transitions in 30s lookback. Differentiates foreground (1) from background multitasking (2)."
F10,camera_hardware_id,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,6,10,0.6250,false,false,"UNKNOWN",62.50,true,READY_FOR_EVALUATION,"Camera sensor ID. Near-constant: 100% of camera activations used sensor '0' (rear). Front camera sessions required."
F11,is_back_camera,T0_ACTIVATION,PRODUCTION_OBSERVABLE,16,6,10,0.6250,false,false,"UNKNOWN",62.50,true,READY_FOR_EVALUATION,"Lens facing back camera. Near-constant: 100% TRUE for active camera sessions. Front camera sessions required."
F12,session_duration_ms,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,false,false,"0",18.75,false,RETROSPECTIVE_RESEARCH_ONLY,"Session duration ms. Known only after session closure. Prohibited from real-time T0 production models."
F13,explicit_user_start_action,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,false,false,"TRUE",68.75,false,RETROSPECTIVE_RESEARCH_ONLY,"Internal harness UI start trigger. Prohibited from real-time T0 production models."
F14,explicit_user_stop_action,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,false,false,"FALSE",50.00,false,RETROSPECTIVE_RESEARCH_ONLY,"Internal harness UI stop trigger. Known only post-closure. Prohibited from real-time T0 production models."
F15,internal_harness_state,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,true,false,"IDLE",100.00,false,RETROSPECTIVE_RESEARCH_ONLY,"Internal harness state machine. Prohibited from real-time T0 production models."
F16,harness_fg_service_active,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,false,false,"false",62.50,false,RETROSPECTIVE_RESEARCH_ONLY,"Target application internal foreground service state. Prohibited from real-time T0 production models."
F17,time_to_session_close_ms,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,false,false,"0",18.75,false,RETROSPECTIVE_RESEARCH_ONLY,"Time to session close ms. Future event after T0 trigger. Prohibited from real-time T0 production models."
F18,app_visibility_at_trigger,T2_RETROSPECTIVE,RESEARCH_ONLY,16,10,6,0.3750,false,false,"FOREGROUND",62.50,false,RETROSPECTIVE_RESEARCH_ONLY,"Ground-truth app visibility at trigger. Not observable across unprivileged sandbox."
F19,backgrounded_during_session,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,false,true,"false",93.75,false,RETROSPECTIVE_RESEARCH_ONLY,"Mid-session backgrounding status. Future event after T0 trigger. Prohibited from real-time T0 production models."
F20,returned_to_foreground,T2_RETROSPECTIVE,RESEARCH_ONLY,16,16,0,0.0000,false,false,"false",62.50,false,RETROSPECTIVE_RESEARCH_ONLY,"Mid-session return to foreground. Future event after T0 trigger. Prohibited from real-time T0 production models."
